Title,Content,URL
Welcome to Pine Script™v6,"Pine Script™ isTradingView’s programming
language. It allows traders to create their own trading tools and run them on
our servers. We designed Pine Script™ as a lightweight, yet powerful, language
for developing indicators and strategies that you can then backtest. Most of
TradingView’s built-in indicators are written in Pine Script™, and our thriving
community of Pine Script™ programmers has published more than 100,000Community Scripts.",https://www.tradingview.com/pine-script-docs/welcome
Requirements,"It’s our explicit goal to keep Pine Script™ accessible and easy to understand
for the broadest possible audience. Pine Script™ is cloud-based and therefore
different from client-side programming languages. While we likely won’t develop
Pine Script™ into a full-fledged language, we do constantly improve it and are
always happy to consider requests for new features.",https://www.tradingview.com/pine-script-docs/welcome
Requirements,"Because each script uses computational resources in the cloud, we must impose
limits in order to share these resources fairly among our users. We strive to
set as few limits as possible, but will of course have to implement as many as
needed for the platform to run smoothly. Limitations apply to the amount of data
requested from additional symbols, execution time, memory usage and script size.",https://www.tradingview.com/pine-script-docs/welcome
Requirements,Next,https://www.tradingview.com/pine-script-docs/welcome
Introduction,"Welcome to the Pine Script™v6 User
Manual,
which will accompany you in your journey to learn to program your own
trading tools in Pine Script™. Welcome also to the very active community
of Pine Script™ programmers on TradingView.",https://www.tradingview.com/pine-script-docs/primer/first-steps
Introduction,"In this page, we present a step-by-step approach that you can follow to
gradually become more familiar with indicators and strategies (also
calledscripts) written in the Pine Script™ programming language onTradingView. We will get you started on
your journey to:",https://www.tradingview.com/pine-script-docs/primer/first-steps
Introduction,"If you are already familiar with the use of Pine scripts on TradingView
and are now ready to learn how to write your own, then jump to theWriting scriptssection of this page.",https://www.tradingview.com/pine-script-docs/primer/first-steps
Introduction,"If you are new to our platform, then please read on!",https://www.tradingview.com/pine-script-docs/primer/first-steps
Usingscripts,"If you are interested in using technical indicators or strategies on
TradingView, you can first start exploring the thousands of indicators
already available on our platform. You can access existing indicators on
the platform in two different ways:",https://www.tradingview.com/pine-script-docs/primer/first-steps
Usingscripts,"If you can find the tools you need already written for you, it can be a
good way to get started and gradually become proficient as a script
user, until you are ready to start your programming journey in Pine
Script™.",https://www.tradingview.com/pine-script-docs/primer/first-steps
Loading scripts from thechart,"To explore and load scripts from your chart, use the “Indicators, Metrics &
Strategies” button:",https://www.tradingview.com/pine-script-docs/primer/first-steps
Loading scripts from thechart,,https://www.tradingview.com/pine-script-docs/primer/first-steps
Loading scripts from thechart,"The dialog box presents different categories of scripts in its left
pane:",https://www.tradingview.com/pine-script-docs/primer/first-steps
Loading scripts from thechart,"Here, the section containing the TradingView built-ins is selected:",https://www.tradingview.com/pine-script-docs/primer/first-steps
Loading scripts from thechart,,https://www.tradingview.com/pine-script-docs/primer/first-steps
Loading scripts from thechart,"When you click on one of the indicators or strategies (the ones marked with a symbol with two arrows), it loads on your chart.",https://www.tradingview.com/pine-script-docs/primer/first-steps
Browsing CommunityScripts,"FromTradingView’s homepage, you can
bring up the Community Scripts stream from the “Community” menu. Here,
we are pointing to the “Editors’ Picks” section, but there are many
other categories you can choose from:",https://www.tradingview.com/pine-script-docs/primer/first-steps
Browsing CommunityScripts,,https://www.tradingview.com/pine-script-docs/primer/first-steps
Browsing CommunityScripts,"You can also search for scripts using the homepage’s “Search” field,
and filter scripts using different criteria. The Help Center has a page
explaining thedifferent types of
scriptsthat
are available.",https://www.tradingview.com/pine-script-docs/primer/first-steps
